schoolID,classID,W,Y
1,1,0,-0.197 
1,2,0,0.236 
1,3,1,0.165 
1,4,1,0.321 
2,5,0,0.117 
2,6,0,1.190 
2,7,1,0.918 
2,8,1,-0.202 
3,9,0,-0.496 
3,10,0,0.225 
3,11,1,0.341 
3,12,1,0.561 
3,13,1,-0.059 
4,14,0,-1.104 
4,15,0,-0.956 
4,16,1,-0.024 
4,17,1,-0.450 
5,18,0,-0.126 
5,19,0,0.106 
5,20,1,-0.258 
5,21,1,-0.083 
6,22,0,-0.597 
6,23,0,-0.495 
6,24,1,1.151 
6,25,1,0.707 
7,26,0,0.685 
7,27,0,0.270 
7,28,1,0.077 
7,29,1,0.371 
8,30,0,-0.934 
8,31,0,-0.633 
8,32,1,-0.870 
8,33,1,-0.496 
8,34,1,-0.444 
8,35,1,0.392 
9,36,0,-0.891 
9,37,0,-0.856 
9,38,1,-0.568 
9,39,1,-1.189 
10,40,0,-0.473 
10,41,0,-0.807 
10,42,1,-0.727 
10,43,1,-0.580 
11,44,0,-0.383 
11,45,0,0.313 
11,46,1,-0.533 
11,47,1,0.458 
12,48,0,0.474 
12,49,0,0.140 
12,50,1,1.001 
12,51,1,0.102 
12,52,1,0.484 
13,53,0,0.205 
13,54,0,0.296 
13,55,1,0.855 
13,56,1,0.509 
14,57,0,0.742 
14,58,0,0.175 
14,59,1,0.618 
14,60,1,0.978 
15,61,0,-0.434 
15,62,0,-0.293 
15,63,1,-0.545 
15,64,1,0.234 
16,65,0,0.355 
16,66,0,-0.130 
16,67,1,-0.240 
16,68,1,-0.150 
